# 형식: id|한국어 뜻|읽기(히라가나, 띄어쓰기)|주석|화자(S=성시경 M=나카시마 미카 C=화면 자막)
390|그럴지도 모르겠네요|そうかも しれませんね||M
391|별로 신경 안 쓰는 사람도 꽤 있지 않아요?|あまり きに しない ひとも けっこう いるんじゃ ないですか||S
392|있어요!|いますよ||M
393|'즐기자!'고들 하는데, 뭘 즐겨요?|たのしもうって いうけど なにを たのしむの||M
394|［(완전 공감)］|かんぜんに きょうかん||C
395|긴장되죠|きんちょうしますよね||S
396|한국 음악 방송은 어때요?|かんこくの おんがくばんぐみは どうですか||M
397|긴장돼요|きんちょうしますよ||S
398|진짜 긴장돼요|ほんとうに きんちょうします||S
399|모니터는 괜찮으세요?|モニターは だいじょうぶですか||S
400|사실 저 인이어에 익숙하지 않아요|じつは わたし イヤモニに なれていないんです||M
401|세대적으로 인이어로 바뀌는 시대에 데뷔하시지 않았어요?|せだいてきに イヤモニに かわる じだいに デビューしたんじゃ ないですか||S
402|세대적으로 인이어로 바뀌는 시대에 데뷔하시지 않았어요?|せだいてきに イヤモニに かわる じだいに デビューしたんじゃ ないですか||S
403|저는 2000년 데뷔라서|わたしは にせんねん デビューなので||M
404|거의 같네요. 저는 2001년이라서|ほとんど おなじですね わたしは にせんいちねんなので||S
405|［모니터 스피커］|モニタースピーカー||C
406|플로어 모니터로 쭉 해왔어서|フロアモニターで ずっと やってきたので||M
407|귀에 넣는 인이어에 익숙하지 않아서 아직 좀|みみに いれる イヤモニに なれていないので まだ ちょっと||M
408|감각이 안 잡혀요|かんかくが つかめないんですよ||M
409|뭐가 뭔지 모르게 돼버려서요?|なにが なんだか わからなく なって しまって||S
410|맞아요. 소리가 너무 가까워서|そうですね おとが ちかすぎて||M
411|플로어 모니터로만 하면 몸으로 아는데|フロアモニターだけで やると からだで わかるんですけど||M
412|요즘은 인이어 특훈을 해야겠다고 생각하고 있어요|さいきんは イヤモニの とっくんしなきゃと おもっているんです||M
413|한국 선배들은 인이어에 익숙하지 않아서|かんこくの せんぱいたちは イヤモニに なれていないので||S
414|쭉 플로어 모니터로 해오셨거든요. 그게 참 신기해요|ずっと フロアモニターで やってきたんですよね それが すごく ふしぎです||S
415|게다가 20, 30년 전에는 음향도 형편없었으니까요|しかも にじゅう さんじゅうねんまえは おんきょうも ひどかったですからね||S
416|하나도 안 들렸거든요|ぜんぜん なにも きこえなかったんですよ||S
417|자기 목소리가 안 들리는데 어떻게 노래해요?|じぶんの こえが きこえないのに どうやって うたうんですか||M
418|그걸 안전장치라고 할까|それを あんぜんそうちと いうか||S
419|안전장치가 뭐예요?|あんぜんそうちって なんですか||M
420|인이어가 없으니까 오히려|イヤモニが ないからこそ||S
421|한쪽 귀를 이렇게 막고 자기 몸 안에서|かたみみを こうやって おさえて じぶんの からだの なかで||S
422|그 소리를 들을 수밖에 없잖아요|その おとを きくしか ないじゃ ないですか||S
423|그래서 그런 열악한 환경에서 어떻게 노래하나 싶은데|だから そんな れつあくな かんきょうで どうやって うたえるのかと おもうんですが||S
424|선배들은 다들 노래를 아주 잘하세요|せんぱいたちは みんな うたが とても じょうずです||S
425|그렇죠|そうですね||M
426|방금 말한 것처럼 자기 몸으로|いま いった ように じぶんの からだで||M
427|어디서든 부를 수 있는|どこでも うたえる||M
428|어디서든 부를 수 있게 스스로를 훈련하신 거죠|どこでも うたえる ように じぶんを くんれんされたんですよね||M
429|그렇긴 한데|そうなんですが||S
430|한쪽 귀만이면 인이어 괜찮지 않아요?|かたみみだったら イヤモニ だいじょうぶじゃ ないですか||S
431|확실히 인이어를 한쪽만 끼는 사람이 많아요|たしかに イヤモニを かたみみだけ つける ひとが おおいです||M
432|역시 곡 소리도 들으면서|やっぱり きょくの おとも ききながら||S
433|맞아요|そうです||M
434|근데 양쪽에 끼면 좀 불안해지기도 해서|でも りょうみみに つけて しまうと ちょっと ふあんに なったりして||M
435|［(완전 공감)］|かんぜんに きょうかん||C
436|맞고 있는 건지 아닌지 모르겠죠|あっているのか どうか わからないですよね||S
437|맞아요. 오히려 모르게 돼요|そうですね ぎゃくに わからなく なります||M
438|근데 저는 인이어가 없으면|でも イヤモニが ないと||S
439|저는 못 해요|わたしは できません||S
440|정말로 모니터가 좋은 경우나|ほんとうに モニターが よい ばあいや||S
441|악기가 피아노나 기타밖에 없을 때|がっきが ピアノや ギターしか ない とき||S
442|이럴 때는 괜찮은데|こういう ときは だいじょうぶなんですが||S
443|발라드를 전부 그렇게 하는 건 무리예요|バラード ぜんぶを そうやって やるのは むりです||S
444|한쪽만 끼고 하는 경우는 꽤 많은데|かたみみだけ つけて やる ことは けっこう おおいんですが||M
445|다들 귀 걱정을 해서 양쪽에 끼는 것에|みんな みみの ことを しんぱいして りょうみみに つける ことに||M
446|익숙해지는 게 좋다고들 해요|なれるのが いいと いわれるんですよ||M
447|근데|でも||M
448|역시 중간에 빼버리게 되네요|やっぱり とちゅうで はずしちゃいますね||M
449|그렇구나|そうなんだ||S
450|한국 콘서트에서는 한국 노래도 커버하세요?|かんこくの コンサートでは かんこくの うたも カバーするんですか||S
451|아니요|いいえ||M
452|무리예요?|むりですか||S
453|근데 사실은 하고 싶어요|でも ほんとうは したいんです||M
454|뭐가 좋을까요?|なにが いいですかね||M
455|［으음］|うーん||C
456|조금 생각할 시간을 주세요|すこし かんがえる じかんを ください||S
457|갑작스럽지만 뭔가 알려주세요|きゅうですけど なにか おしえてください||M
458|좋아하는 노래 같은 건 없으셨어요?|すきな うたとか ありませんでしたか||S
459|아마 한국 원곡일 것 같은데 잘 몰라서|たぶん かんこくの げんきょくだと おもうんですが よく しらなくて||M
460|'엽기적인 그녀'의|りょうきてきな かのじょの||M
461|'I Believe'요?|アイ ビリーヴ||S
462|그 곡 사실은|その きょく じつは||S
463|제가 부를 예정이던 곡이에요|わたしが うたう よていだった きょくなんです||S
464|네?|え||M
465|뺏겼어요|うばわれました||S
466|거짓말?|うそ||M
467|신승훈 씨한테|シン・スンフンさんに||S
468|불러 주세요|うたってください||M
469|그래서 커버한 적이 있어요, 한국에서|それで カバーした ことが あります かんこくで||M
470|저 그 곡 정말 좋아해요|わたし その きょく だいすきなんですよ||M
471|성시경 버전의 'I believe'가 있어요|ソン・シギョンバージョンの アイ ビリーヴが ありますよ||S
472|［20년 전에 부른 'I believe'］|にじゅうねんまえに うたった アイ ビリーヴ||C
473|김형석이라는 한국의 전설적인 프로듀서가 계신데요|キム・ヒョンソクと いう かんこくの でんせつてきな プロデューサーが いらっしゃるんですが||S
474|마침 제가 그 선배 소속사였거든요|ちょうど わたしが その せんぱいの しょぞくじむしょだったんです||S
475|여러 노래를 부르게 해주셨는데|いろんな うたを うたわせて いただいて||S
476|선배가 이번엔 미안하니까|せんぱいが こんかいは もうしわけないから||S
477|시경이한테는 부탁하지 말자고 하셔서|シギョンには たのまない ように しようと おっしゃって||S
478|［(아깝다)］|おしい||C
479|신승훈 씨가 하게 된 거예요|シン・スンフンさんが やる ことに なったんです||S
480|맞아요, 신승훈 씨죠|そうです シン・スンフンさんですね||M
481|근데 역시 그런 인연이 있는 것 같아요. 곡과 가수한테는|でも やっぱり そういう えんが あると おもいます きょくと かしゅには||S
482|근데 그건 한국 사람이라면 누구나 좋아하는 곡이에요|でも それは かんこくじんなら だれでも すきな きょくですよ||S
483|그래요?|そうなんですか||M
484|신승훈 선배가 해주셔서 정말 다행이라고 생각해요|シン・スンフンせんぱいが やってくれて ほんとうに よかったと おもいます||S
485|제가 커버해 봤는데 그 맛이 안 나더라고요|わたしが カバーしてみたんですが その あじが でないんですよね||S
486|그걸 일본 그룹이|それを にほんの グループが||S
487|커버했어요|カバーしたんですよ||S
488|네? 누구요?|え だれですか||M
489|［'Full Of Harmony'가 일본어 버전을 커버했다］|フル オブ ハーモニーが にほんごバージョンを カバーしていた||C
490|(공연에서 부른다면) 한국어가 좋을 것 같아요|こうえんで うたうなら かんこくごが いいと おもいます||S
491|모처럼 한국 콘서트니까요|せっかく かんこくコンサートですからね||S
492|외울 수 있을까요?|おぼえられるかな||M
493|좋아해 주실 거예요|よろこんでくれると おもいますよ||S
494|그럼 선생님이 해주시겠어요?|じゃあ せんせい やって いただけますか||M
495|네, 물론이죠|はい もちろんです||S
496|어쩔 수 없이|しかたなく||S
497|대신 저한테는 뭘 해주실 건데요?|かわりに わたしに なにを して くれるんですか||S
498|뭘 하면 될까요?|なにを すれば いいですか||M
499|한국을 계속 사랑해 주세요|かんこくを あいしつづけて ください||S
500|그건 물론이죠|それは もちろんです||M
501|［어떤 곡이 어울릴까?］|どんな きょくが あうかな||C
502|나카시마 미카가 한국 곡을 부른다면 뭐가 좋을까?|なかじまみかが かんこくの きょくを うたうなら なにが いいかな||S
503|서로 곡을 교환할까요?|おたがいに きょくを こうかんしましょうか||S
504|어울릴 것 같은 곡을 골라서|あいそうな きょくを えらんで||S
505|제 곡이요?|わたしの きょくですか||M
506|아마 제일 인기 있는 곡 중에서|たぶん いちばん にんきの ある きょくの なかから||S
507|'거리에서'라는 곡이 있는데요|コリエソと いう きょくが あるんですが||S
508|(작곡가인) 윤종신 씨는 이 곡을 만들 때 사실|さっきょくかの ユン・ジョンシンさんは この きょくを つくる とき じつは||S
509|나카시마 미카 씨에게 이 곡을 주고 싶어서 만들었대요|なかじまみかさんに この きょくを あげたいと おもって つくった そうです||S
510|어라? 들어본 적 있는 것 같아요|あれ きいた ことが あるかも||M
511|나중에 라인 주세요|あとで ライン ください||S
512|원래 '거리에서'는 나카시마 미카에게 주고 싶어서 만든 곡인데|もともと コリエソは なかじまみかに あげたいと おもって つくった きょくなんですが||S
513|제가 불렀거든요|わたしが うたったんですよ||S
514|그럼 제 곡 중에서 멋대로|それじゃ わたしの きょくの なかから かってに||S
515|어울릴 것 같은 곡을 몇 곡 보내도 될까요?|あいそうな きょくを なんきょくか おくっても いいですか||S
516|네|はい||M
517|발라드죠, 이미지가|バラードですもんね イメージが||S
518|뭐든 분명 부르실 수 있겠지만|なんでも きっと うたえるでしょうけど||S
519|세상의 이미지는 발라드죠|せけんの イメージは バラードですよね||S
520|아마 비슷한 느낌일까요?|たぶん にた かんじでしょうか||M
521|네|はい||S
522|나카시마의 한국 남자 버전이에요|なかじまの かんこくだんせいバージョンです||S
523|그렇네요. 조금 어두운 것도 잘 어울리시죠|そうですね ちょっと くらいのも にあいますよね||M
524|［어떤 곡이 좋을까…?］|どんな きょくが いいかな||C
525|뭐가 있을까?|なにが あるかな||S
526|아니 근데 역시 발음이 어려워요|いやでも やっぱり はつおんが むずかしいですよ||M
527|(공연이) 6월이니까요|こうえんが ろくがつですから||S
528|벌써? 잠깐만요|もう まって||M
529|가사를 외울 수 있을까요…?|かしを おぼえられるでしょうか||M
530|아니 그러니까 완벽하게 부를 필요는 없어요|いやだから かんぺきに うたう ひつようは ないんですよ||S
531|죽을힘을 다했습니다, 좀 너그럽게 봐주세요 하면|しぬほど がんばりました ちょっと おおめに みて くださいと いえば||S
532|좋아할 거예요, 한국 사람들|よろこびますよ かんこくの ひとたち||S
533|［한국 팬들이 기뻐해 주면 좋겠다는 마음］|かんこくの ファンが よろこんでくれたら いいなと いう きもち||C
534|콘서트에서 전부 몇 곡 부르세요?|コンサートで ぜんぶで なんきょく うたいますか||S
535|20곡 정도?|にじゅっきょくくらい||M
536|20곡 정도?|にじゅっきょくくらい||S
537|춤도 있어요?|おどりも ありますか||S
538|춤은 안 춰요|おどらないです||M
539|걸어서 여기저기 다니긴 하지만 안무는 없어요|あるいて あちこち いったりは しますけど ふりは ないです||M
540|춤추세요?|おどるんですか||M
541|네, 관객을 위해서|はい かんきゃくの ために||S
542|정말요?|ほんとうですか||M
543|［웃기기 위해서라면…］|わらわせる ためなら||C
544|일본에서의 활동 계획은 있으세요?|にほんでの かつどうけいかくは ありますか||S
545|계획은 있는데|けいかくは ありますが||M
546|아직 말하면 안 돼요?|まだ いっちゃ だめ||S
547|뭐랄까…|なんか||M
548|일본은 정말 엄격하네요|にほんは ほんとうに きびしいですね||S
549|엄격해요|きびしいです||M
550|정말 어디까지 정해질지 모르니까요|ほんとうに どこまで きまるか わからないので||M
551|그래도 여러 가지 예정은 되어 있다고|でも いろいろ よていは されてると||S
552|한국 콘서트가 대성공해서|かんこくコンサートが だいせいこうして||S
553|'내년에도 하자'는 마음이 들었으면 좋겠어요|らいねんも やりましょうと いう きもちに なって ほしいです||S
554|매년 가능하면 하고 싶네요|まいとし できれば やりたいですね||M
555|최고잖아요|さいこうじゃ ないですか||S
556|보러 갈게요|みに いきますね||S
557|노래를 불러 주세요|うたを うたって ください||M
558|네?|はい||S
559|그럼 노래를 불러 주세요|だったら うたを うたって ください||M
560|그것도 천천히 생각하죠|それも ゆっくり かんがえましょう||S
561|근데 일본에는 게스트 문화가 없죠?|だって にほんには ゲストぶんかが ないでしょ||S
562|있어요|ありますよ||M
563|엇, 있군요|えっ あるんですね||S
564|일본에서 라이브를 할 때는|にほんで ライブを する ときは||M
565|친구를 부르거나|ともだちを よんだり||M
566|몇 주년이라든가 그런 걸 축하하러 와주거나|なんしゅうねんとか そういうのを いわう ために きてくれたり||M
567|저는 별로 해본 적이 없지만요|わたしは あまり やった ことが ないんですが||M
568|꽤 많아요|けっこう おおいですよ||M
569|한국은 사람에 따라 다르지만|かんこくは ひとに よりますけど||S
570|90% 이상은 1부, 2부로 나뉘어 있고|きゅうわりいじょうは いちぶ にぶに わかれていて||S
571|중간에 게스트가 서프라이즈로 와서|まに ゲストが サプライズで きて||S
572|두 곡 정도 부르고, 옷 갈아입는 사이에|にきょくくらい うたって きがえの あいだに||S
573|그리고 와주면 다음엔 제가 가고|そして きてくれたら つぎは わたしが いって||S
574|개런티 없이 동료끼리|ギャラなしで なかまどうしで||S
575|그런 문화가 있어요|そういう ぶんかが あります||S
576|근데 일본은…|でも にほんは||S
577|그런 게 없는 것 같아요|そういうのが ない ような きが します||S
578|아티스트 혼자서|アーティスト ひとりで||S
579|1시간 40분으로 끝!|いちじかん よんじゅっぷんで おわり||S
580|근데 한국은 좀 길어서|でも かんこくは ちょっと ながくて||S
581|그렇군요|そうなんですね||M
582|저는 3시간 반 정도 해요|わたし さんじかんはんくらい やります||S
583|길다!|ながい||M
584|［3시간 반…?］|さんじかんはん||C
585|24, 25곡 정도|にじゅうよん ごきょくくらい||S
586|저는 5월 초에 콘서트를 하거든요|わたしは ごがつ はじめに コンサートを やるんですよ||S
587|5월 초에|ごがつの はじめに||M
588|2, 3, 5일!|ふつか みっか いつか||S
589|［야외에서 하니까 놀러 오세요］|やがいで やるので あそびに きてください||C
590|야외요? 재밌겠다|やがい たのしそう||M
591|뭔가 떠오르면 제안할 테니까|なにか おもいついたら ていあんしますから||S
592|사양 말고 거절해 주세요|えんりょなく ことわって ください||S
593|네, 알겠습니다|はい わかりました||M
594|계속 그런 꿈을 갖고 있었거든요|ずっと そんな ゆめを もってたんですよ||S
595|한국, 일본, 중국 어디든 좋으니까|かんこく にほん ちゅうごく どこでも いいので||S
596|혹시 같이 부르고 싶은 곡이 있으면|もし いっしょに うたいたい きょくが あれば||S
597|억지로는 못 하지만요|むりには できませんが||S
598|앞으로도 잘 부탁드립니다|これからも よろしく おねがいします||M
599|그런 의미에서|と いうことで||S
600|나카시마 씨였습니다|なかじまさんでした||S
601|한국 팬 여러분께 한마디 해주시겠어요?|かんこくの ファンの みなさんに ひとこと いって くれますか||S
602|뭘 할까요|なんでしょう||M
603|늘 응원해 주시는 팬 여러분, 감사합니다|いつも おうえんして くださる ファンの みなさん ありがとうございます||M
604|이번에도 라이브 열심히 할 테니까|こんかいも ライブ がんばりますので||M
605|와주시면 기쁘겠습니다|きて いただけたら うれしいです||M
606|춤춰 주세요|おどって ください||S
607|싫어요|いやです||M
608|한국 팬들 좋아할 것 같은데요|かんこくの ファン よろこんでくれると おもいますよ||S
609|근데 이번엔 평소 라이브랑은 좀|でも こんかいは ちょっと ふだんの ライブとは||M
610|달라요|ちがうんですよ||M
611|평소에 저는 댄서가 발레리나거든요|いつも わたしは ダンサーが バレリーナなんですけど||M
612|늘 데려오는데 이번엔 댄서도 전혀 없고|いつも つれてくるんですが こんかいは ダンサーも まったく いなくて||M
613|어쿠스틱한 느낌이랑 평소 스타일이 섞여서|アコースティックな かんじと ふだんの スタイルが まざるので||M
614|그건 일본에서도 하는 형식인가요?|それは にほんでも やる けいしきですか||S
615|둘 다 해요. 어쿠스틱도 하고|りょうほう やりますよ アコースティックも やりますし||M
616|아니요, 이번 한국만을 위해 기획한 건지|いいえ こんかいの かんこくだけの ために きかくしたのか||S
617|아니면 지금 완성된 무대를 다른 데서도 할 예정인지|それとも いま かんせいした ぶたいを ほかでも やる よていですか||S
618|이번 투어가 그런 형식이에요|こんかいの ツアーが そういう けいしきです||M
619|그걸 가져오시는 거군요|それを もってくるんですね||S
620|기대하고 있을게요|たのしみに しています||S
621|오늘은 와주셔서 감사합니다|きょうは きて くださって ありがとうございます||S
622|저야말로 감사합니다|こちらこそ ありがとうございます||M
623|즐거웠어요. 감사합니다|たのしかったです ありがとうございます||M
624|나카시마 미카 씨였습니다|なかじまみかさんでした||S
625|［보너스］|おまけ||C
626|［콘서트에서 부를 한국 노래를 추천 중…］|コンサートで うたう かんこくの うたを すいせんちゅう||C
627|이소라가 딱일 것 같은데|イ・ソラが ぴったりだと おもうな||S
628|이소라 씨의 무슨 노래를 추천할까?|イ・ソラさんの なんの うたを おすすめしよう||S
629|예를 들면요|たとえばなんですけど||S
630|가사도 많지 않고 글자도|かしも おおくなくて もじも||S
631|［시경의 선택은 이소라의 '제발'］|シギョンの チョイスは イ・ソラの わたしの そばから はなれないで ください||C
632|보내 주세요|おくって ください||M
633|아니, 저 지금 벌써 울 것 같아요|いや わたし いま もう なきそうです||M
634|정해졌습니다!|きまりました||S
635|부탁드려요|おねがいします||M
636|이걸로 정해졌습니다|これで きまりました||S
637|이 곡을 들으러 (공연에) 와주세요|この きょくを ききに こうえんに きて ください||S
638|잠깐만요!|ちょっと まってください||M
639|부를 수 있으면 할게요|うたえたら やりますので||M
640|［성시경의 '만날텐데'］|ソン・シギョンの あうだろうに||C
